[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Gumbel-Softmax Routing Experiment
[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Hypothesis: Hard argmax gives dL/d(router_w)=0.
[2026-03-27 13:46:23] Gumbel-softmax makes routing differentiable so the LM loss
[2026-03-27 13:46:23] can drive selective routing.
[2026-03-27 13:46:23] ======================================================================
[2026-03-27 13:46:23] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'fork_trunk18_phase1_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.1, 'contrastive_margin': 0.5, 'bimodality_threshold': 0.3, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_gumbel_softmax', 'checkpoint_dir': '/root/t6b-mogae/checkpoints/fork_trunk18', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/gumbel_softmax', 'log_file': '/root/t6b-mogae/logs/gumbel_softmax.log'}
[2026-03-27 13:46:23] Loading Qwen/Qwen3-1.7B...
[2026-03-27 13:46:26] Base model loaded: 1,720,574,976 params
[2026-03-27 13:46:26] Verified: hidden=2048, intermediate=6144
[2026-03-27 13:46:26] Loading Phase 1 checkpoint: /root/t6b-mogae/checkpoints/fork_trunk18/fork_trunk18_phase1_final.pt
[2026-03-27 13:46:26] Loaded Phase 1 weights (step 24414, phase 1)
[2026-03-27 13:46:26] Forking each layer: 1 expert -> 2 experts with perturbation...
[2026-03-27 13:46:26] Fork complete. Tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:26] Trainable params: 1,351,680
[2026-03-27 13:46:26] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:26] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-27 13:46:26] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-27 13:46:26] Contrastive weight: 0.1, NO load-balancing loss
[2026-03-27 13:46:26] Trainable params: 1,351,680
[2026-03-27 13:46:26] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 13:46:40]   step 100/24414 | lm=3.4688 c=0.4961 tau=0.996 | lr=1.00e-04 | 15464 tok/s route_L18=[0.60, 0.40]
[2026-03-27 13:49:06]   step 1400/24414 | lm=3.1562 c=0.3379 tau=0.948 | lr=9.92e-05 | 17975 tok/s route_L18=[0.58, 0.42]
[2026-03-27 13:49:16]   step 1500/24414 | lm=2.9375 c=0.3242 tau=0.944 | lr=9.91e-05 | 18095 tok/s route_L18=[0.58, 0.42]
[2026-03-27 13:49:26]   step 1600/24414 | lm=3.0625 c=0.3105 tau=0.940 | lr=9.89e-05 | 18200 tok/s route_L18=[0.55, 0.45]
[2026-03-27 13:49:37]   step 1700/24414 | lm=3.1406 c=0.2969 tau=0.936 | lr=9.88e-05 | 18292 tok/s route_L18=[0.74, 0.26]
[2026-03-27 13:49:47]   step 1800/24414 | lm=3.6875 c=0.2832 tau=0.933 | lr=9.87e-05 | 18375 tok/s route_L18=[0.50, 0.50]
[2026-03-27 13:49:57]   step 1900/24414 | lm=3.6406 c=0.2754 tau=0.929 | lr=9.85e-05 | 18450 tok/s route_L18=[0.54, 0.46]
[2026-03-27 13:50:07]   step 2000/24414 | lm=3.2969 c=0.2617 tau=0.925 | lr=9.84e-05 | 18519 tok/s route_L18=[0.72, 0.28]
[2026-03-27 13:50:07] --- Eval at step 2000 (tau=0.925) ---
[2026-03-27 13:50:23]   PPL=20.15 | mean_cossim=0.762890625
[2026-03-27 13:50:23]   L18: selectivity=0.258 (std=0.142, frac>0.3=0.42)
[2026-03-27 13:50:23]   L19: selectivity=0.283 (std=0.146, frac>0.3=0.49)
[2026-03-27 13:50:23]   L20: selectivity=0.328 (std=0.148, frac>0.3=0.62)
[2026-03-27 13:50:23]   L21: selectivity=0.322 (std=0.150, frac>0.3=0.60)
[2026-03-27 13:50:23]   L22: selectivity=0.326 (std=0.149, frac>0.3=0.61)
[2026-03-27 13:50:23]   L23: selectivity=0.355 (std=0.147, frac>0.3=0.69)
[2026-03-27 13:50:23]   L24: selectivity=0.344 (std=0.148, frac>0.3=0.66)
[2026-03-27 13:50:23]   L25: selectivity=0.355 (std=0.148, frac>0.3=0.69)
[2026-03-27 13:50:23]   L26: selectivity=0.381 (std=0.143, frac>0.3=0.75)
[2026-03-27 13:50:23]   L27: selectivity=0.389 (std=0.140, frac>0.3=0.77)
[2026-03-27 13:50:23]   L18: entropy=0.494 gini=0.062 dist=['0.562', '0.438']
[2026-03-27 13:50:23]   L19: entropy=0.455 gini=0.055 dist=['0.551', '0.451']
[2026-03-27 13:50:23]   L20: entropy=0.375 gini=0.016 dist=['0.484', '0.516']
[2026-03-27 13:50:23]   L21: entropy=0.387 gini=0.031 dist=['0.465', '0.535']
[2026-03-27 13:50:23]   L22: entropy=0.381 gini=0.047 dist=['0.453', '0.547']
[2026-03-27 13:50:23]   L23: entropy=0.324 gini=0.156 dist=['0.338', '0.660']
[2026-03-27 13:50:23]   L24: entropy=0.348 gini=0.141 dist=['0.645', '0.355']
[2026-03-27 13:50:23]   L25: entropy=0.324 gini=0.125 dist=['0.371', '0.629']
[2026-03-27 13:50:23]   L26: entropy=0.271 gini=0.008 dist=['0.492', '0.508']
[2026-03-27 13:50:23]   L27: entropy=0.256 gini=0.141 dist=['0.355', '0.645']
[2026-03-27 13:50:23] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step2000.pt
[2026-03-27 13:50:33]   step 2100/24414 | lm=2.8594 c=0.2539 tau=0.921 | lr=9.82e-05 | 17405 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:50:44]   step 2200/24414 | lm=3.2031 c=0.2441 tau=0.918 | lr=9.80e-05 | 17511 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:50:54]   step 2300/24414 | lm=2.8438 c=0.2344 tau=0.914 | lr=9.78e-05 | 17610 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:51:04]   step 2400/24414 | lm=2.6875 c=0.2246 tau=0.910 | lr=9.76e-05 | 17699 tok/s route_L18=[0.62, 0.38]
[2026-03-27 13:51:14]   step 2500/24414 | lm=3.1250 c=0.2158 tau=0.906 | lr=9.74e-05 | 17782 tok/s route_L18=[0.61, 0.39]
[2026-03-27 13:51:24]   step 2600/24414 | lm=3.5781 c=0.2090 tau=0.903 | lr=9.72e-05 | 17858 tok/s route_L18=[0.71, 0.29]
[2026-03-27 13:51:35]   step 2700/24414 | lm=3.2188 c=0.2031 tau=0.899 | lr=9.70e-05 | 17928 tok/s route_L18=[0.57, 0.42]
[2026-03-27 13:51:45]   step 2800/24414 | lm=3.3125 c=0.1963 tau=0.895 | lr=9.68e-05 | 17994 tok/s route_L18=[0.62, 0.38]
[2026-03-27 13:51:55]   step 2900/24414 | lm=2.9688 c=0.1895 tau=0.891 | lr=9.66e-05 | 18056 tok/s route_L18=[0.63, 0.37]
[2026-03-27 13:52:05]   step 3000/24414 | lm=3.3594 c=0.1846 tau=0.888 | lr=9.63e-05 | 18113 tok/s route_L18=[0.68, 0.32]
[2026-03-27 13:52:05] --- Eval at step 3000 (tau=0.888) ---
[2026-03-27 13:52:21]   PPL=20.14 | mean_cossim=0.683984375
[2026-03-27 13:52:21]   L18: selectivity=0.268 (std=0.145, frac>0.3=0.45)
[2026-03-27 13:52:21]   L19: selectivity=0.285 (std=0.146, frac>0.3=0.50)
[2026-03-27 13:52:21]   L20: selectivity=0.332 (std=0.148, frac>0.3=0.63)
[2026-03-27 13:52:21]   L21: selectivity=0.336 (std=0.149, frac>0.3=0.64)
[2026-03-27 13:52:21]   L22: selectivity=0.332 (std=0.149, frac>0.3=0.63)
[2026-03-27 13:52:21]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-27 13:52:21]   L24: selectivity=0.346 (std=0.148, frac>0.3=0.66)
[2026-03-27 13:52:21]   L25: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-27 13:52:21]   L26: selectivity=0.385 (std=0.142, frac>0.3=0.76)
[2026-03-27 13:52:21]   L27: selectivity=0.396 (std=0.137, frac>0.3=0.79)
[2026-03-27 13:52:21]   L18: entropy=0.479 gini=0.094 dist=['0.598', '0.402']
[2026-03-27 13:52:21]   L19: entropy=0.451 gini=0.008 dist=['0.494', '0.508']
[2026-03-27 13:52:21]   L20: entropy=0.369 gini=0.047 dist=['0.447', '0.551']
[2026-03-27 13:52:21]   L21: entropy=0.359 gini=0.141 dist=['0.365', '0.637']
[2026-03-27 13:52:21]   L22: entropy=0.367 gini=0.094 dist=['0.406', '0.594']
[2026-03-27 13:52:21]   L23: entropy=0.307 gini=0.203 dist=['0.301', '0.699']
[2026-03-27 13:52:21]   L24: entropy=0.344 gini=0.141 dist=['0.645', '0.354']
[2026-03-27 13:52:21]   L25: entropy=0.309 gini=0.156 dist=['0.344', '0.656']
[2026-03-27 13:52:21]   L26: entropy=0.262 gini=0.016 dist=['0.479', '0.520']
[2026-03-27 13:52:21]   L27: entropy=0.238 gini=0.180 dist=['0.322', '0.680']
[2026-03-27 13:52:21] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step3000.pt
[2026-03-27 13:52:31]   step 3100/24414 | lm=2.6406 c=0.1797 tau=0.884 | lr=9.61e-05 | 17399 tok/s route_L18=[0.74, 0.26]
[2026-03-27 13:52:42]   step 3200/24414 | lm=3.2500 c=0.1738 tau=0.880 | lr=9.58e-05 | 17459 tok/s route_L18=[0.64, 0.36]
[2026-03-27 13:52:52]   step 3300/24414 | lm=2.7500 c=0.1699 tau=0.876 | lr=9.56e-05 | 17529 tok/s route_L18=[0.72, 0.28]
[2026-03-27 13:53:02]   step 3400/24414 | lm=4.0000 c=0.1660 tau=0.873 | lr=9.53e-05 | 17595 tok/s route_L18=[0.69, 0.31]
[2026-03-27 13:53:12]   step 3500/24414 | lm=3.1562 c=0.1621 tau=0.869 | lr=9.50e-05 | 17655 tok/s route_L18=[0.54, 0.46]
[2026-03-27 13:53:23]   step 3600/24414 | lm=3.3750 c=0.1592 tau=0.865 | lr=9.47e-05 | 17713 tok/s route_L18=[0.65, 0.35]
[2026-03-27 13:53:33]   step 3700/24414 | lm=2.9531 c=0.1543 tau=0.861 | lr=9.44e-05 | 17768 tok/s route_L18=[0.64, 0.35]
[2026-03-27 13:53:43]   step 3800/24414 | lm=2.8906 c=0.1523 tau=0.858 | lr=9.41e-05 | 17820 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:53:53]   step 3900/24414 | lm=3.1094 c=0.1484 tau=0.854 | lr=9.38e-05 | 17870 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:54:04]   step 4000/24414 | lm=3.1406 c=0.1465 tau=0.850 | lr=9.35e-05 | 17916 tok/s route_L18=[0.63, 0.37]
[2026-03-27 13:54:04] --- Eval at step 4000 (tau=0.850) ---
[2026-03-27 13:54:19]   PPL=20.14 | mean_cossim=0.645703125
[2026-03-27 13:54:19]   L18: selectivity=0.277 (std=0.146, frac>0.3=0.48)
[2026-03-27 13:54:19]   L19: selectivity=0.287 (std=0.147, frac>0.3=0.51)
[2026-03-27 13:54:19]   L20: selectivity=0.336 (std=0.148, frac>0.3=0.64)
[2026-03-27 13:54:19]   L21: selectivity=0.342 (std=0.149, frac>0.3=0.65)
[2026-03-27 13:54:19]   L22: selectivity=0.334 (std=0.149, frac>0.3=0.64)
[2026-03-27 13:54:19]   L23: selectivity=0.359 (std=0.147, frac>0.3=0.70)
[2026-03-27 13:54:19]   L24: selectivity=0.344 (std=0.148, frac>0.3=0.66)
[2026-03-27 13:54:19]   L25: selectivity=0.367 (std=0.146, frac>0.3=0.72)
[2026-03-27 13:54:19]   L26: selectivity=0.385 (std=0.142, frac>0.3=0.76)
[2026-03-27 13:54:19]   L27: selectivity=0.396 (std=0.138, frac>0.3=0.78)
[2026-03-27 13:54:19]   L18: entropy=0.465 gini=0.125 dist=['0.629', '0.371']
[2026-03-27 13:54:19]   L19: entropy=0.447 gini=0.000 dist=['0.500', '0.500']
[2026-03-27 13:54:19]   L20: entropy=0.361 gini=0.055 dist=['0.445', '0.555']
[2026-03-27 13:54:19]   L21: entropy=0.352 gini=0.148 dist=['0.350', '0.648']
[2026-03-27 13:54:19]   L22: entropy=0.365 gini=0.094 dist=['0.400', '0.598']
[2026-03-27 13:54:19]   L23: entropy=0.314 gini=0.180 dist=['0.326', '0.676']
[2026-03-27 13:54:19]   L24: entropy=0.348 gini=0.141 dist=['0.637', '0.363']
[2026-03-27 13:54:19]   L25: entropy=0.299 gini=0.180 dist=['0.326', '0.676']
[2026-03-27 13:54:19]   L26: entropy=0.262 gini=0.008 dist=['0.508', '0.492']
[2026-03-27 13:54:19]   L27: entropy=0.240 gini=0.164 dist=['0.336', '0.664']
[2026-03-27 13:54:19] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step4000.pt
[2026-03-27 13:54:29]   step 4100/24414 | lm=1.6328 c=0.1436 tau=0.846 | lr=9.32e-05 | 17389 tok/s route_L18=[0.57, 0.43]
[2026-03-27 13:54:39]   step 4200/24414 | lm=2.9375 c=0.1406 tau=0.843 | lr=9.29e-05 | 17442 tok/s route_L18=[0.79, 0.21]
[2026-03-27 13:54:50]   step 4300/24414 | lm=2.9375 c=0.1396 tau=0.839 | lr=9.25e-05 | 17494 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:55:00]   step 4400/24414 | lm=2.9062 c=0.1377 tau=0.835 | lr=9.22e-05 | 17544 tok/s route_L18=[0.40, 0.61]
[2026-03-27 13:55:10]   step 4500/24414 | lm=3.3438 c=0.1357 tau=0.831 | lr=9.18e-05 | 17591 tok/s route_L18=[0.54, 0.46]
[2026-03-27 13:55:20]   step 4600/24414 | lm=2.9844 c=0.1348 tau=0.828 | lr=9.15e-05 | 17638 tok/s route_L18=[0.60, 0.40]
[2026-03-27 13:55:31]   step 4700/24414 | lm=3.2344 c=0.1328 tau=0.824 | lr=9.11e-05 | 17684 tok/s route_L18=[0.57, 0.44]
[2026-03-27 13:55:41]   step 4800/24414 | lm=3.1719 c=0.1299 tau=0.820 | lr=9.08e-05 | 17727 tok/s route_L18=[0.70, 0.30]
[2026-03-27 13:55:51]   step 4900/24414 | lm=3.0938 c=0.1299 tau=0.816 | lr=9.04e-05 | 17767 tok/s route_L18=[0.73, 0.27]
[2026-03-27 13:56:01]   step 5000/24414 | lm=2.8281 c=0.1279 tau=0.813 | lr=9.00e-05 | 17807 tok/s route_L18=[0.58, 0.42]
[2026-03-27 13:56:01] --- Eval at step 5000 (tau=0.813) ---
[2026-03-27 13:56:17]   PPL=20.14 | mean_cossim=0.628125
[2026-03-27 13:56:17]   L18: selectivity=0.281 (std=0.146, frac>0.3=0.49)
[2026-03-27 13:56:17]   L19: selectivity=0.289 (std=0.147, frac>0.3=0.51)
[2026-03-27 13:56:17]   L20: selectivity=0.338 (std=0.148, frac>0.3=0.65)
[2026-03-27 13:56:17]   L21: selectivity=0.342 (std=0.148, frac>0.3=0.66)
[2026-03-27 13:56:17]   L22: selectivity=0.332 (std=0.149, frac>0.3=0.63)
[2026-03-27 13:56:17]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-27 13:56:17]   L24: selectivity=0.348 (std=0.147, frac>0.3=0.67)
[2026-03-27 13:56:17]   L25: selectivity=0.365 (std=0.146, frac>0.3=0.71)
[2026-03-27 13:56:17]   L26: selectivity=0.387 (std=0.141, frac>0.3=0.76)
[2026-03-27 13:56:17]   L27: selectivity=0.400 (std=0.136, frac>0.3=0.79)
[2026-03-27 13:56:17]   L18: entropy=0.457 gini=0.141 dist=['0.641', '0.359']
[2026-03-27 13:56:17]   L19: entropy=0.443 gini=0.000 dist=['0.504', '0.496']
[2026-03-27 13:56:17]   L20: entropy=0.357 gini=0.062 dist=['0.439', '0.562']
[2026-03-27 13:56:17]   L21: entropy=0.350 gini=0.156 dist=['0.348', '0.652']
[2026-03-27 13:56:17]   L22: entropy=0.367 gini=0.086 dist=['0.412', '0.586']
[2026-03-27 13:56:17]   L23: entropy=0.309 gini=0.188 dist=['0.316', '0.684']
[2026-03-27 13:56:17]   L24: entropy=0.340 gini=0.156 dist=['0.656', '0.344']
[2026-03-27 13:56:17]   L25: entropy=0.303 gini=0.156 dist=['0.338', '0.660']
[2026-03-27 13:56:17]   L26: entropy=0.262 gini=0.016 dist=['0.516', '0.484']
[2026-03-27 13:56:17]   L27: entropy=0.230 gini=0.180 dist=['0.326', '0.676']
[2026-03-27 13:56:17] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_softmax/gumbel_step5000.pt
[2026-03-27 13:56:27]   step 5100/24414 | lm=3.1406 c=0.1270 tau=0.809 | lr=8.96e-05 | 17387 tok/s route_L18=[0.61, 0.39]
[2026-03-27 13:56:37]   step 5200/24414 | lm=3.1250 c=0.1270 tau=0.805 | lr=8.92e-05 | 17430 tok/s route_L18=[0.65, 0.35]
[2026-03-27 13:56:48]   step 5300/24414 | lm=2.9219 c=0.1240 tau=0.801 | lr=8.88e-05 | 17464 tok/s route_L18=[0.77, 0.23]
[2026-03-27 13:56:58]   step 5400/24414 | lm=3.0156 c=0.1240 tau=0.798 | lr=8.84e-05 | 17505 tok/s route_L18=[0.52, 0.48]
[2026-03-27 13:57:08]   step 5500/24414 | lm=3.0781 c=0.1221 tau=0.794 | lr=8.80e-05 | 17542 tok/s route_L18=[0.66, 0.34]
[2026-03-27 13:57:19]   step 5600/24414 | lm=3.0625 c=0.1221 tau=0.790 | lr=8.76e-05 | 17581 tok/s route_L18=[0.61, 0.39]
[2026-03-27 13:57:29]   step 5700/24414 | lm=3.0938 c=0.1201 tau=0.786 | lr=8.71e-05 | 17618 tok/s route_L18=[0.76, 0.24]
