[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Gumbel-Softmax Routing Experiment
[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Hypothesis: Hard argmax gives dL/d(router_w)=0.
[2026-03-28 04:56:25] Gumbel-softmax makes routing differentiable so the LM loss
[2026-03-28 04:56:25] can drive selective routing.
[2026-03-28 04:56:25] ======================================================================
[2026-03-28 04:56:25] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'gumbel_softmax/gumbel_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'contrastive_weight': 0.1, 'contrastive_margin': 0.5, 'bimodality_threshold': 0.3, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_gumbel_softmax', 'checkpoint_dir': '/root/t6b-mogae/checkpoints', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/gumbel_niche', 'log_file': '/root/t6b-mogae/logs/gumbel_niche_finetune.log'}
[2026-03-28 04:56:25] Loading Qwen/Qwen3-1.7B...
`torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 17482.83it/s]
The tied weights mapping and config for this model specifies to tie model.embed_tokens.weight to lm_head.weight, but both are present in the checkpoints, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-03-28 04:56:29] Base model loaded: 2,031,739,904 params
[2026-03-28 04:56:29] Verified: hidden=2048, intermediate=6144
[2026-03-28 04:56:29] Loaded Gumbel checkpoint from step 24414
[2026-03-28 04:56:29] Trainable params: 1,351,680
[2026-03-28 04:56:29] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-28 04:56:29] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-28 04:56:29] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-28 04:56:29] Contrastive weight: 0.1, NO load-balancing loss
[2026-03-28 04:56:29] Trainable params: 1,351,680
[2026-03-28 04:56:29] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-28 04:56:42]   step 100/24414 | lm=3.4531 c=0.0840 tau=0.996 | lr=1.00e-04 | 15847 tok/s route_L18=[0.60, 0.40]
[2026-03-28 04:58:36]   step 1100/24414 | lm=3.0156 c=0.0532 tau=0.959 | lr=9.95e-05 | 17731 tok/s route_L18=[0.62, 0.38]
[2026-03-28 04:58:46]   step 1200/24414 | lm=2.6562 c=0.0520 tau=0.955 | lr=9.94e-05 | 17919 tok/s route_L18=[0.54, 0.46]
[2026-03-28 04:58:56]   step 1300/24414 | lm=3.0938 c=0.0508 tau=0.951 | lr=9.93e-05 | 18077 tok/s route_L18=[0.62, 0.38]
[2026-03-28 04:59:06]   step 1400/24414 | lm=3.1562 c=0.0508 tau=0.948 | lr=9.92e-05 | 18210 tok/s route_L18=[0.58, 0.42]
[2026-03-28 04:59:17]   step 1500/24414 | lm=2.9375 c=0.0496 tau=0.944 | lr=9.91e-05 | 18327 tok/s route_L18=[0.58, 0.42]
[2026-03-28 04:59:27]   step 1600/24414 | lm=3.0625 c=0.0488 tau=0.940 | lr=9.89e-05 | 18429 tok/s route_L18=[0.57, 0.43]
[2026-03-28 04:59:37]   step 1700/24414 | lm=3.1406 c=0.0481 tau=0.936 | lr=9.88e-05 | 18519 tok/s route_L18=[0.76, 0.24]
[2026-03-28 04:59:47]   step 1800/24414 | lm=3.6875 c=0.0476 tau=0.933 | lr=9.87e-05 | 18597 tok/s route_L18=[0.54, 0.46]
[2026-03-28 04:59:57]   step 1900/24414 | lm=3.6406 c=0.0464 tau=0.929 | lr=9.85e-05 | 18668 tok/s route_L18=[0.57, 0.44]
[2026-03-28 05:00:08]   step 2000/24414 | lm=3.2969 c=0.0464 tau=0.925 | lr=9.84e-05 | 18727 tok/s route_L18=[0.76, 0.24]
[2026-03-28 05:00:08] --- Eval at step 2000 (tau=0.925) ---
[2026-03-28 05:00:23]   PPL=20.16 | mean_cossim=0.5419921875
[2026-03-28 05:00:23]   L18: selectivity=0.277 (std=0.146, frac>0.3=0.48)
[2026-03-28 05:00:23]   L19: selectivity=0.299 (std=0.148, frac>0.3=0.54)
[2026-03-28 05:00:23]   L20: selectivity=0.346 (std=0.148, frac>0.3=0.66)
[2026-03-28 05:00:23]   L21: selectivity=0.332 (std=0.150, frac>0.3=0.63)
[2026-03-28 05:00:23]   L22: selectivity=0.338 (std=0.149, frac>0.3=0.64)
[2026-03-28 05:00:23]   L23: selectivity=0.355 (std=0.148, frac>0.3=0.69)
[2026-03-28 05:00:23]   L24: selectivity=0.348 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:00:23]   L25: selectivity=0.361 (std=0.146, frac>0.3=0.70)
[2026-03-28 05:00:23]   L26: selectivity=0.393 (std=0.140, frac>0.3=0.77)
[2026-03-28 05:00:23]   L27: selectivity=0.402 (std=0.136, frac>0.3=0.80)
[2026-03-28 05:00:23]   L18: entropy=0.465 gini=0.078 dist=['0.574', '0.426']
[2026-03-28 05:00:23]   L19: entropy=0.426 gini=0.031 dist=['0.527', '0.473']
[2026-03-28 05:00:23]   L20: entropy=0.344 gini=0.031 dist=['0.473', '0.527']
[2026-03-28 05:00:23]   L21: entropy=0.365 gini=0.039 dist=['0.461', '0.539']
[2026-03-28 05:00:23]   L22: entropy=0.357 gini=0.055 dist=['0.439', '0.559']
[2026-03-28 05:00:23]   L23: entropy=0.324 gini=0.117 dist=['0.385', '0.617']
[2026-03-28 05:00:23]   L24: entropy=0.340 gini=0.125 dist=['0.625', '0.377']
[2026-03-28 05:00:23]   L25: entropy=0.311 gini=0.125 dist=['0.379', '0.621']
[2026-03-28 05:00:23]   L26: entropy=0.247 gini=0.023 dist=['0.482', '0.520']
[2026-03-28 05:00:23]   L27: entropy=0.228 gini=0.164 dist=['0.336', '0.664']
[2026-03-28 05:00:23] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step2000.pt
[2026-03-28 05:00:34]   step 2100/24414 | lm=2.8594 c=0.0454 tau=0.921 | lr=9.82e-05 | 17576 tok/s route_L18=[0.56, 0.44]
[2026-03-28 05:00:44]   step 2200/24414 | lm=3.2031 c=0.0454 tau=0.918 | lr=9.80e-05 | 17675 tok/s route_L18=[0.69, 0.31]
[2026-03-28 05:00:54]   step 2300/24414 | lm=2.8438 c=0.0442 tau=0.914 | lr=9.78e-05 | 17766 tok/s route_L18=[0.59, 0.41]
[2026-03-28 05:01:04]   step 2400/24414 | lm=2.6875 c=0.0442 tau=0.910 | lr=9.76e-05 | 17848 tok/s route_L18=[0.63, 0.37]
[2026-03-28 05:01:15]   step 2500/24414 | lm=3.1250 c=0.0437 tau=0.906 | lr=9.74e-05 | 17927 tok/s route_L18=[0.65, 0.35]
[2026-03-28 05:01:25]   step 2600/24414 | lm=3.5781 c=0.0430 tau=0.903 | lr=9.72e-05 | 18001 tok/s route_L18=[0.74, 0.26]
[2026-03-28 05:01:35]   step 2700/24414 | lm=3.2188 c=0.0430 tau=0.899 | lr=9.70e-05 | 18070 tok/s route_L18=[0.60, 0.40]
[2026-03-28 05:01:45]   step 2800/24414 | lm=3.3125 c=0.0422 tau=0.895 | lr=9.68e-05 | 18134 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:01:55]   step 2900/24414 | lm=2.9688 c=0.0417 tau=0.891 | lr=9.66e-05 | 18195 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:02:06]   step 3000/24414 | lm=3.3594 c=0.0417 tau=0.888 | lr=9.63e-05 | 18251 tok/s route_L18=[0.70, 0.30]
[2026-03-28 05:02:06] --- Eval at step 3000 (tau=0.888) ---
[2026-03-28 05:02:21]   PPL=20.16 | mean_cossim=0.5388671875
[2026-03-28 05:02:21]   L18: selectivity=0.285 (std=0.147, frac>0.3=0.50)
[2026-03-28 05:02:21]   L19: selectivity=0.301 (std=0.148, frac>0.3=0.54)
[2026-03-28 05:02:21]   L20: selectivity=0.348 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:02:21]   L21: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:02:21]   L22: selectivity=0.340 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:02:21]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:02:21]   L24: selectivity=0.350 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:02:21]   L25: selectivity=0.367 (std=0.146, frac>0.3=0.72)
[2026-03-28 05:02:21]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:02:21]   L27: selectivity=0.404 (std=0.135, frac>0.3=0.80)
[2026-03-28 05:02:21]   L18: entropy=0.449 gini=0.117 dist=['0.617', '0.383']
[2026-03-28 05:02:21]   L19: entropy=0.426 gini=0.023 dist=['0.482', '0.520']
[2026-03-28 05:02:21]   L20: entropy=0.340 gini=0.070 dist=['0.436', '0.566']
[2026-03-28 05:02:21]   L21: entropy=0.354 gini=0.102 dist=['0.404', '0.598']
[2026-03-28 05:02:21]   L22: entropy=0.354 gini=0.078 dist=['0.422', '0.578']
[2026-03-28 05:02:21]   L23: entropy=0.307 gini=0.164 dist=['0.338', '0.664']
[2026-03-28 05:02:21]   L24: entropy=0.334 gini=0.133 dist=['0.633', '0.367']
[2026-03-28 05:02:21]   L25: entropy=0.301 gini=0.148 dist=['0.357', '0.645']
[2026-03-28 05:02:21]   L26: entropy=0.244 gini=0.023 dist=['0.482', '0.520']
[2026-03-28 05:02:21]   L27: entropy=0.224 gini=0.172 dist=['0.334', '0.668']
[2026-03-28 05:02:21] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step3000.pt
[2026-03-28 05:02:31]   step 3100/24414 | lm=2.6406 c=0.0415 tau=0.884 | lr=9.61e-05 | 17528 tok/s route_L18=[0.75, 0.25]
[2026-03-28 05:02:42]   step 3200/24414 | lm=3.2500 c=0.0410 tau=0.880 | lr=9.58e-05 | 17583 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:02:52]   step 3300/24414 | lm=2.7500 c=0.0405 tau=0.876 | lr=9.56e-05 | 17651 tok/s route_L18=[0.74, 0.26]
[2026-03-28 05:03:02]   step 3400/24414 | lm=4.0000 c=0.0403 tau=0.873 | lr=9.53e-05 | 17714 tok/s route_L18=[0.72, 0.28]
[2026-03-28 05:03:12]   step 3500/24414 | lm=3.1562 c=0.0403 tau=0.869 | lr=9.50e-05 | 17774 tok/s route_L18=[0.57, 0.43]
[2026-03-28 05:03:22]   step 3600/24414 | lm=3.3750 c=0.0398 tau=0.865 | lr=9.47e-05 | 17832 tok/s route_L18=[0.67, 0.33]
[2026-03-28 05:03:33]   step 3700/24414 | lm=2.9531 c=0.0403 tau=0.861 | lr=9.44e-05 | 17886 tok/s route_L18=[0.66, 0.34]
[2026-03-28 05:03:43]   step 3800/24414 | lm=2.8906 c=0.0398 tau=0.858 | lr=9.41e-05 | 17938 tok/s route_L18=[0.57, 0.43]
[2026-03-28 05:03:53]   step 3900/24414 | lm=3.1094 c=0.0391 tau=0.854 | lr=9.38e-05 | 17987 tok/s route_L18=[0.67, 0.33]
[2026-03-28 05:04:03]   step 4000/24414 | lm=3.1406 c=0.0386 tau=0.850 | lr=9.35e-05 | 18034 tok/s route_L18=[0.64, 0.36]
[2026-03-28 05:04:03] --- Eval at step 4000 (tau=0.850) ---
[2026-03-28 05:04:19]   PPL=20.15 | mean_cossim=0.5376953125
[2026-03-28 05:04:19]   L18: selectivity=0.291 (std=0.147, frac>0.3=0.52)
[2026-03-28 05:04:19]   L19: selectivity=0.301 (std=0.148, frac>0.3=0.55)
[2026-03-28 05:04:19]   L20: selectivity=0.348 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:04:19]   L21: selectivity=0.348 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:04:19]   L22: selectivity=0.342 (std=0.148, frac>0.3=0.66)
[2026-03-28 05:04:19]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:04:19]   L24: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:04:19]   L25: selectivity=0.373 (std=0.145, frac>0.3=0.73)
[2026-03-28 05:04:19]   L26: selectivity=0.395 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:04:19]   L27: selectivity=0.406 (std=0.134, frac>0.3=0.81)
[2026-03-28 05:04:19]   L18: entropy=0.441 gini=0.141 dist=['0.641', '0.357']
[2026-03-28 05:04:19]   L19: entropy=0.424 gini=0.016 dist=['0.488', '0.512']
[2026-03-28 05:04:19]   L20: entropy=0.338 gini=0.070 dist=['0.428', '0.570']
[2026-03-28 05:04:19]   L21: entropy=0.338 gini=0.133 dist=['0.361', '0.637']
[2026-03-28 05:04:19]   L22: entropy=0.350 gini=0.094 dist=['0.406', '0.594']
[2026-03-28 05:04:19]   L23: entropy=0.309 gini=0.156 dist=['0.346', '0.656']
[2026-03-28 05:04:19]   L24: entropy=0.336 gini=0.125 dist=['0.625', '0.373']
[2026-03-28 05:04:19]   L25: entropy=0.287 gini=0.172 dist=['0.332', '0.668']
[2026-03-28 05:04:19]   L26: entropy=0.244 gini=0.016 dist=['0.490', '0.512']
[2026-03-28 05:04:19]   L27: entropy=0.217 gini=0.172 dist=['0.324', '0.676']
[2026-03-28 05:04:19] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step4000.pt
[2026-03-28 05:04:29]   step 4100/24414 | lm=1.6250 c=0.0383 tau=0.846 | lr=9.32e-05 | 17495 tok/s route_L18=[0.56, 0.44]
[2026-03-28 05:04:39]   step 4200/24414 | lm=2.9375 c=0.0383 tau=0.843 | lr=9.29e-05 | 17549 tok/s route_L18=[0.81, 0.19]
[2026-03-28 05:04:49]   step 4300/24414 | lm=2.9375 c=0.0383 tau=0.839 | lr=9.25e-05 | 17601 tok/s route_L18=[0.67, 0.33]
[2026-03-28 05:05:00]   step 4400/24414 | lm=2.8906 c=0.0383 tau=0.835 | lr=9.22e-05 | 17651 tok/s route_L18=[0.38, 0.62]
[2026-03-28 05:05:10]   step 4500/24414 | lm=3.3438 c=0.0386 tau=0.831 | lr=9.18e-05 | 17697 tok/s route_L18=[0.54, 0.46]
[2026-03-28 05:05:20]   step 4600/24414 | lm=2.9844 c=0.0378 tau=0.828 | lr=9.15e-05 | 17744 tok/s route_L18=[0.62, 0.38]
[2026-03-28 05:05:30]   step 4700/24414 | lm=3.2344 c=0.0376 tau=0.824 | lr=9.11e-05 | 17790 tok/s route_L18=[0.58, 0.42]
[2026-03-28 05:05:40]   step 4800/24414 | lm=3.1719 c=0.0378 tau=0.820 | lr=9.08e-05 | 17834 tok/s route_L18=[0.72, 0.28]
[2026-03-28 05:05:50]   step 4900/24414 | lm=3.0938 c=0.0376 tau=0.816 | lr=9.04e-05 | 17876 tok/s route_L18=[0.74, 0.26]
[2026-03-28 05:06:01]   step 5000/24414 | lm=2.8281 c=0.0378 tau=0.813 | lr=9.00e-05 | 17917 tok/s route_L18=[0.60, 0.40]
[2026-03-28 05:06:01] --- Eval at step 5000 (tau=0.813) ---
[2026-03-28 05:06:16]   PPL=20.15 | mean_cossim=0.5369140625
[2026-03-28 05:06:16]   L18: selectivity=0.295 (std=0.147, frac>0.3=0.53)
[2026-03-28 05:06:16]   L19: selectivity=0.301 (std=0.148, frac>0.3=0.55)
[2026-03-28 05:06:16]   L20: selectivity=0.350 (std=0.147, frac>0.3=0.67)
[2026-03-28 05:06:16]   L21: selectivity=0.348 (std=0.148, frac>0.3=0.67)
[2026-03-28 05:06:16]   L22: selectivity=0.342 (std=0.149, frac>0.3=0.65)
[2026-03-28 05:06:16]   L23: selectivity=0.363 (std=0.146, frac>0.3=0.71)
[2026-03-28 05:06:16]   L24: selectivity=0.352 (std=0.147, frac>0.3=0.68)
[2026-03-28 05:06:16]   L25: selectivity=0.371 (std=0.146, frac>0.3=0.73)
[2026-03-28 05:06:16]   L26: selectivity=0.393 (std=0.139, frac>0.3=0.78)
[2026-03-28 05:06:16]   L27: selectivity=0.406 (std=0.134, frac>0.3=0.81)
[2026-03-28 05:06:16]   L18: entropy=0.436 gini=0.148 dist=['0.652', '0.346']
[2026-03-28 05:06:16]   L19: entropy=0.424 gini=0.016 dist=['0.488', '0.512']
[2026-03-28 05:06:16]   L20: entropy=0.336 gini=0.070 dist=['0.430', '0.570']
[2026-03-28 05:06:16]   L21: entropy=0.338 gini=0.133 dist=['0.361', '0.637']
[2026-03-28 05:06:16]   L22: entropy=0.352 gini=0.086 dist=['0.414', '0.586']
[2026-03-28 05:06:16]   L23: entropy=0.307 gini=0.156 dist=['0.344', '0.656']
[2026-03-28 05:06:16]   L24: entropy=0.332 gini=0.141 dist=['0.641', '0.361']
[2026-03-28 05:06:16]   L25: entropy=0.293 gini=0.164 dist=['0.342', '0.660']
[2026-03-28 05:06:16]   L26: entropy=0.245 gini=0.008 dist=['0.508', '0.492']
[2026-03-28 05:06:16]   L27: entropy=0.217 gini=0.172 dist=['0.328', '0.672']
[2026-03-28 05:06:16] Checkpoint saved: /root/t6b-mogae/checkpoints/gumbel_niche/gumbel_step5000.pt
[2026-03-28 05:06:26]   step 5100/24414 | lm=3.1406 c=0.0376 tau=0.809 | lr=8.96e-05 | 17494 tok/s route_L18=[0.62, 0.38]
[2026-03-28 05:06:36]   step 5200/24414 | lm=3.1250 c=0.0371 tau=0.805 | lr=8.92e-05 | 17539 tok/s route_L18=[0.65, 0.35]
[2026-03-28 05:06:47]   step 5300/24414 | lm=2.9219 c=0.0371 tau=0.801 | lr=8.88e-05 | 17573 tok/s route_L18=[0.79, 0.21]
[2026-03-28 05:06:57]   step 5400/24414 | lm=3.0156 c=0.0371 tau=0.798 | lr=8.84e-05 | 17615 tok/s route_L18=[0.52, 0.48]
[2026-03-28 05:07:07]   step 5500/24414 | lm=3.0781 c=0.0366 tau=0.794 | lr=8.80e-05 | 17656 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:07:17]   step 5600/24414 | lm=3.0625 c=0.0366 tau=0.790 | lr=8.76e-05 | 17695 tok/s route_L18=[0.64, 0.37]
[2026-03-28 05:07:27]   step 5700/24414 | lm=3.0938 c=0.0376 tau=0.786 | lr=8.71e-05 | 17733 tok/s route_L18=[0.77, 0.23]
[2026-03-28 05:07:37]   step 5800/24414 | lm=2.1250 c=0.0371 tau=0.783 | lr=8.67e-05 | 17770 tok/s route_L18=[0.78, 0.22]
[2026-03-28 05:07:48]   step 5900/24414 | lm=3.3438 c=0.0364 tau=0.779 | lr=8.63e-05 | 17806 tok/s route_L18=[0.68, 0.32]
[2026-03-28 05:07:58]   step 6000/24414 | lm=3.2344 c=0.0359 tau=0.775 | lr=8.58e-05 | 17840 tok/s route_L18=[0.67, 0.33]
[2026-03-28 05:07:58] --- Eval at step 6000 (tau=0.775) ---
[2026-03-28 05:08:13]   PPL=20.15 | mean_cossim=0.5357421875
